index;Country Code;Short Name;Table Name;Long Name;2-alpha code;Currency Unit;Special Notes;Region;Income Group;WB-2 code;National accounts base year;National accounts reference year;SNA price valuation;Lending category;Other groups;System of National Accounts;Alternative conversion factor;PPP survey year;Balance of Payments Manual in use;External debt Reporting status;System of trade;Government Accounting concept;IMF data dissemination standard;Latest population census;Latest household survey;Source of most recent Income and expenditure data;Vital registration complete;Latest agricultural census;Latest industrial data;Latest trade data;Latest water withdrawal data
164;SAU;Saudi Arabia;Saudi Arabia;Kingdom of Saudi Arabia;SA;Saudi Arabian riyal;;Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";SA;1993;;Value added at producer prices (VAP);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;;General Data Dissemination System (GDDS);2010;Demographic survey, 2007;;;2010;2006;2013;2006
165;SEN;Senegal;Senegal;Republic of Senegal;SN;CFA franc;;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";SN;1999;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2013;HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014;Priority survey (PS), 2011;;2013;2010;2012;2002
166;SRB;Serbia;Serbia;Republic of Serbia;RS;New Serbian dinar;"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.";Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";YF;Original chained constant price data are rescaled.;2010;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2014;Integrated household survey (IHS), 2011;Yes;2012;2011;;2009
167;SYC;Seychelles;Seychelles;Republic of Seychelles;SC;Seychelles rupee;"April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.";Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";SC;2006;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;;Budget survey (BS), 2006/07;Yes;2011;;2008;2005
168;SLE;Sierra Leone;Sierra Leone;Republic of Sierra Leone;SL;Sierra Leonean leone;"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";SL;2006;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2004;"Demographic and Health Survey (DHS), 2013; Malaria Indicator Survey (MIS), 2013";Integrated household survey (IHS), 2011;;;2008;2002;2005
169;SGP;Singapore;Singapore;Republic of Singapore;SG;Singapore dollar;"Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.";East Asia & Pacific;"High income: nonOECD; based on FY13 income classifications.";SG;2010;;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;National Health Survey (NHS), 2010;;Yes;;2011;2013;1975
170;SVK;Slovak Republic;Slovak Republic;Slovak Republic;SK;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";SK;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;World Health Survey (WHS), 2003;Income survey (IS), 2012;Yes;2010;2010;2013;2007
171;SVN;Slovenia;Slovenia;Republic of Slovenia;SI;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";SI;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011. Population data compiled from administrative registers.;World Health Survey (WHS), 2003;Expenditure survey/budget survey (ES/BS), 2012;Yes;2010;2011;2013;2009
172;SLB;Solomon Islands;Solomon Islands;Solomon Islands;SB;Solomon Islands dollar;National accounts data have been revised from 2007 to 2013 based on IMF reports.;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";SB;2004;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;;General Data Dissemination System (GDDS);2009;;Integrated household survey (IHS), 2005/06;;2012/13;;2013;
173;SOM;Somalia;Somalia;Somali Democratic Republic;SO;Somali shilling;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";SO;1985;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;1977–90;;;Estimate;;;;1987;Multiple Indicator Cluster Survey (MICS), 2006;;;;;;2003
174;ZAF;South Africa;South Africa;Republic of South Africa;ZA;South African rand;"Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010. South Africa reports using SNA 2008.";Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";ZA;2010;;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Preliminary;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;"Demographic and Health Survey (DHS), 2003; World Health Survey (WHS), 2003";Expenditure survey/budget survey (ES/BS), 2010/11;;2007;2010;2013;2000
175;SAS;South Asia;South Asia;South Asia;8S;;South Asia regional aggregate. There are no economies in South Asia classified as high income.;;;8S;;;;;;;;;;;;;;;;;;;;;
176;ESP;Spain;Spain;Kingdom of Spain;ES;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";ES;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2010;Yes;2010;2010;2013;2008
177;LKA;Sri Lanka;Sri Lanka;Democratic Socialist Republic of Sri Lanka;LK;Sri Lankan rupee;;South Asia;"Lower middle income; based on FY13 income classifications.";LK;2002;;Value added at producer prices (VAP);Blend;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2012;Demographic and Health Survey (DHS), 2006/07;Expenditure survey/budget survey (ES/BS), 2013;Yes;2013/ 2014;2010;2013;2005
178;KNA;St. Kitts and Nevis;St. Kitts and Nevis;St. Kitts and Nevis;KN;East Caribbean dollar;"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.";Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";KN;2006;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;;;Yes;;;2011;
179;LCA;St. Lucia;St. Lucia;St. Lucia;LC;East Caribbean dollar;"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";LC;2006;;Value added at basic prices (VAB);Blend;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2012;Integrated household survey (IHS), 1995;Yes;2007;;2008;2005
180;VCT;St. Vincent and the Grenadines;St. Vincent and the Grenadines;St. Vincent and the Grenadines;VC;East Caribbean dollar;"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";VC;2006;;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;;;Yes;;;2012;1995
181;SSA;Sub-Saharan Africa (developing only);Sub-Saharan Africa;Sub-Saharan Africa (developing only);ZF;;Sub-Saharan Africa regional aggregate (does not include high-income economies).;;;ZF;;;;;;;;;;;;;;;;;;;;;
182;SDN;Sudan;Sudan;Republic of the Sudan;SD;Sudanese pound;Total population are reported separately for Sudan and South Sudan. National accounts data exclude South Sudan after July 9, 2011.;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";SD;1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.;1996;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Preliminary;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2008;Multiple Indicator Cluster Survey (MICS), 2014;Expenditure survey/budget survey (ES/BS), 2009;;2013/ 2014;2001;2011;2011
183;SUR;Suriname;Suriname;Republic of Suriname;SR;Suriname dollar;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";SR;2007;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2012;Multiple Indicator Cluster Survey (MICS), 2010;Expenditure survey/budget survey (ES/BS), 1999;Yes;2008;2004;2011;2006
184;SWZ;Swaziland;Swaziland;Kingdom of Swaziland;SZ;Swaziland lilangeni;"Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.";Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";SZ;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2007;Multiple Indicator Cluster Survey (MICS), 2014;Expenditure survey/budget survey (ES/BS), 2009/10;;2007. Population and Housing Census.;;2007;2000
185;SWE;Sweden;Sweden;Kingdom of Sweden;SE;Swedish krona;"Fiscal year end: June 30; reporting period for national accounts data: CY.";Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";SE;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Income survey (IS), 2005;Yes;2010;2010;2013;2007
186;CHE;Switzerland;Switzerland;Switzerland;CH;Swiss franc;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";CH;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;;Expenditure survey/budget survey (ES/BS), 2004;Yes;2008;2010;2013;2000
187;SYR;Syrian Arab Republic;Syrian Arab Republic;Syrian Arab Republic;SY;Syrian pound;April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.;Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";SY;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1968 System of National Accounts methodology.;1970–2010;2011;IMF Balance of Payments Manual, 6th edition.;Estimate;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2004;Multiple Indicator Cluster Survey (MICS), 2006;Expenditure survey/budget survey (ES/BS), 2004;;2014;2005;2010;2005
188;TJK;Tajikistan;Tajikistan;Republic of Tajikistan;TJ;Tajik somoni;;Europe & Central Asia;"Low income; based on FY13 income classifications.";TJ;Original chained constant price data are rescaled.;2000;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;1990–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;Demographic and Health Survey (DHS), 2012;Living Standards Measurement Study Survey (LSMS), 2009;;2013;;2000;2006
189;TZA;Tanzania;Tanzania;United Republic of Tanzania;TZ;Tanzanian shilling;The new base year is 2007. Tanzania reports using a blend of SNA 1993 and SNA 2008.;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";TZ;2007;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2012;HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014/15;Expenditure survey/budget survey (ES/BS), 2011/12;;2007/08;2010;2013;2002
190;THA;Thailand;Thailand;Kingdom of Thailand;TH;Thai baht;"Fiscal year end: September 30; reporting period for national accounts data: CY.";East Asia & Pacific;"Upper middle income; based on FY13 income classifications.";TH;1988;;Value added at producer prices (VAP);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;Multiple Indicator Cluster Survey (MICS), 2012;Integrated household survey (IHS), 2011;;2013;2006;2013;2007
191;BHS;The Bahamas;Bahamas, The;Commonwealth of The Bahamas;BS;Bahamian dollar;;Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";BS;2006;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;;;;;;2013;
192;GMB;The Gambia;Gambia, The;Republic of The Gambia;GM;Gambian dalasi;"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";GM;2004;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2013;Demographic and Health Survey (DHS), 2013;Integrated household survey (IHS), 2010;;;2004;2013;2000
193;TMP;Timor-Leste;Timor-Leste;Democratic Republic of Timor-Leste;TL;U.S. dollar;"Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";TP;2010;;Value added at basic prices (VAB);Blend;;Country uses the 2008 System of National Accounts methodology.;;;;;Special trade system;;General Data Dissemination System (GDDS);2010;Demographic and Health Survey (DHS), 2009/10;Living Standards Measurement Study Survey (LSMS), 2007;;2010. Population and Housing Census.;;2013;2004
194;TGO;Togo;Togo;Republic of Togo;TG;CFA franc;"April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";TG;2000;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Demographic and Health Survey (DHS), 2013/14;Core Welfare Indicator Questionnaire Survey (CWIQ), 2011;;2011/2012;;2013;2002
195;TON;Tonga;Tonga;Kingdom of Tonga;TO;Tongan pa'anga;"2013 national accounts estimates are based on IMF reports. Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";TO;2010/11;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;General Data Dissemination System (GDDS);2006;;;;;;2012;
196;TTO;Trinidad and Tobago;Trinidad and Tobago;Republic of Trinidad and Tobago;TT;Trinidad and Tobago dollar;;Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";TT;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2011;Integrated household survey (IHS), 1992;Yes;;2006;2010;2000
197;TUN;Tunisia;Tunisia;Republic of Tunisia;TN;Tunisian dinar;National accounts data from 2005 onward have been revised based on data published by the Tunisian authorities. April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.;Middle East & North Africa;"Upper middle income; based on FY13 income classifications.";TN;2005;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2014;Multiple Indicator Cluster Survey (MICS), 2011/12;Integrated household survey (IHS), 2010;;2014/ 2015;2010;2013;2001
198;TUR;Turkey;Turkey;Republic of Turkey;TR;New Turkish lira;;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";TR;1998;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Turkey Demographic and Health Survey (TDHS), 2008;Expenditure survey/budget survey (ES/BS), 2011;Yes;;2009;2013;2003
199;TKM;Turkmenistan;Turkmenistan;Turkmenistan;TM;New Turkmen manat;On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";TM;2005;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1987–95, 1997–2007;;IMF Balance of Payments Manual, 6th edition.;Estimate;General trade system;;;2012;Multiple Indicator Cluster Survey (MICS), 2006;Living Standards Measurement Study Survey (LSMS), 1998;;;;2000;2004
200;TUV;Tuvalu;Tuvalu;Tuvalu;TV;Australian dollar;2013 national accounts estimates are based on IMF reports. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.;East Asia & Pacific;"Upper middle income; based on FY13 income classifications.";TV;2005;;Value added at basic prices (VAB);IDA;;Country uses the 1968 System of National Accounts methodology.;;2011 (household consumption only).;;;General trade system;;General Data Dissemination System (GDDS);2012;;;;;;2008;
201;UGA;Uganda;Uganda;Republic of Uganda;UG;Ugandan shilling;"Fiscal year end: June 30; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2009/10. Uganda reports using SNA 2008. Price valuation is in producer prices.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";UG;2009/10;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2014;Malaria Indicator Survey (MIS), 2014;Integrated household survey (IHS), 2012/13;;2008/ 2009;;2013;2002
202;UKR;Ukraine;Ukraine;Ukraine;UA;Ukrainian hryvnia;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";UA;Original chained constant price data are rescaled.;2003;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1987–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2001;Multiple Indicator Cluster Survey (MICS), 2012;Expenditure survey/budget survey (ES/BS), 2013;Yes;2012 /2013;2004;2013;2005
203;ARE;United Arab Emirates;United Arab Emirates;United Arab Emirates;AE;U.A.E. dirham;"April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.";Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";AE;2007;;Value added at producer prices (VAP);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;World Health Survey (WHS), 2003;;;2012;2010;2011;2005
204;GBR;United Kingdom;United Kingdom;United Kingdom of Great Britain and Northern Ireland;GB;Pound sterling;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";GB;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Income survey (IS), 2010;Yes;2010;2010;2013;2007
205;USA;United States;United States;United States of America;US;U.S. dollar;"Fiscal year end: September 30; reporting period for national accounts data: CY.";North America;"High income: OECD; based on FY13 income classifications.";US;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;;Labor force survey (LFS), 2010;Yes;2012;2008;2013;2005
206;UMC;Upper middle income;Upper middle income;Upper middle income;XT;;Upper middle income group aggregate. Upper-middle-income economies are those in which 2014 GNI per capita was between $4,126 and $12,735.;;;XT;;;;;;;;;;;;;;;;;;;;;
207;URY;Uruguay;Uruguay;Oriental Republic of Uruguay;UY;Uruguayan peso;In 2011, the Central Bank revised national accounts data for 2006 onward.;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";UY;2005;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Multiple Indicator Cluster Survey (MICS), 2012/13;Integrated household survey (IHS), 2013;Yes;2011;2009;2013;2000
208;UZB;Uzbekistan;Uzbekistan;Republic of Uzbekistan;UZ;Uzbek sum;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";UZ;Original chained constant price data are rescaled.;1997;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;1990–95;;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;;1989;Multiple Indicator Cluster Survey (MICS), 2006;Expenditure survey/budget survey (ES/BS), 2011;Yes;;;;2005
209;VUT;Vanuatu;Vanuatu;Republic of Vanuatu;VU;Vanuatu vatu;2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";VU;2006;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;IMF Balance of Payments Manual, 6th edition.;Estimate;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2009;Multiple Indicator Cluster Survey (MICS), 2007;;;2007;;2011;
210;VEN;Venezuela;Venezuela, RB;República Bolivariana de Venezuela;VE;Venezuelan bolivar fuerte;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";VE;1997;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2000;Integrated household survey (IHS), 2012;Yes;2007;;2011;2000
211;VNM;Vietnam;Vietnam;Socialist Republic of Vietnam;VN;Vietnamese dong;"Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";VN;2010;;Value added at producer prices (VAP);Blend;;Country uses the 1993 System of National Accounts methodology.;1991;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;General Data Dissemination System (GDDS);2009;Multiple Indicator Cluster Survey (MICS), 2013/14;Integrated household survey (IHS), 2012;Yes;2011/ 2012;2011;2013;2005
212;WBG;West Bank and Gaza;West Bank and Gaza;West Bank and Gaza;PS;Israeli new shekel;The new base year is 2004.;Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";GZ;2004;;Value added at basic prices (VAB);;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Budgetary central government;Special Data Dissemination Standard (SDDS);2007;Multiple Indicator Cluster Survey (MICS), 2014;Integrated household survey (IHS), 2011;;;2010;;2005
213;WLD;World;World;World;1W;;World aggregate.;;;1W;;;;;;;;;;;;;;;;;;;;;
214;YEM;Yemen;Yemen, Rep.;Republic of Yemen;YE;Yemeni rial;Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The new base year is 2007.;Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";RY;2007;;Value added at producer prices (VAP);IDA;;Country uses the 1993 System of National Accounts methodology.;1990–96;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2004;Demographic and Health Survey (DHS), 2013;Expenditure survey/budget survey (ES/BS), 2005;;;2009;2013;2005
215;ZMB;Zambia;Zambia;Republic of Zambia;ZM;New Zambian kwacha;The new base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";ZM;2010;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 2008 System of National Accounts methodology.;1990–92;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Demographic and Health Survey (DHS), 2013/14;Integrated household survey (IHS), 2010;;2010. Population and Housing Census.;;2013;2002
